person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
25,1,3,0.021937596746508924,4,3,0.9942028985507246,4,16.77,0.21,2.0,662,0,0
22,0,4,0.00990648103942211,0,3,0.9710144927536232,1,17.58,0.43,4.0,691,0,1
24,0,1,0.0008155416150059658,0,2,0.028985507246376812,4,7.29,0.11,3.0,600,1,0
22,1,1,0.012431935085890463,1,3,0.9695652173913043,4,14.54,0.35,4.0,691,0,1
24,0,3,0.0103497041332917,0,3,0.9420289855072463,2,12.68,0.4,3.0,654,0,1
21,0,0,0.0008742116732283519,0,0,0.1181159420289855,5,17.74,0.32,3.0,626,0,1
23,1,3,0.0008749068160982855,0,2,0.02608695652173913,4,9.32,0.1,3.0,607,0,0
24,0,1,0.009878536296050783,1,3,0.927536231884058,2,9.99,0.41,3.0,700,0,1
21,0,1,0.0009715316750190399,0,1,0.10144927536231883,1,12.84,0.27,2.0,553,0,1
21,1,3,0.0009534579604007695,0,2,0.043478260869565216,3,11.12,0.13,3.0,589,0,1
25,1,1,0.019026755492949445,1,3,0.9130434782608695,5,6.62,0.22,2.0,586,1,0
26,1,1,0.014826702272811325,2,3,0.8855072463768116,2,14.17,0.27,3.0,681,0,1
25,0,3,0.05006627492121946,3,3,0.6884057971014493,0,13.85,0.07,3.0,567,1,0
26,0,0,0.0490876527889271,1,0,0.21159420289855072,3,13.49,0.02,4.0,669,0,0
21,1,0,0.0009940543040048851,0,2,0.05797101449275363,1,7.51,0.17,4.0,600,0,1
22,0,1,0.007072105501555313,0,3,0.855072463768116,1,18.39,0.51,2.0,606,0,1
24,1,3,0.009735614921992458,3,3,0.855072463768116,0,14.54,0.38,3.0,582,0,1
25,1,1,0.011509480497488728,4,3,0.855072463768116,2,16.89,0.33,4.0,649,0,1
23,0,3,0.010956980944465592,0,3,0.855072463768116,0,11.01,0.35,4.0,602,0,1
26,1,1,0.009384845829824021,5,3,0.855072463768116,3,17.99,0.4,2.0,616,0,1
24,0,3,0.0009846003609737897,0,2,0.05797101449275363,5,12.69,0.17,3.0,631,0,1
26,1,1,0.04911782198948222,5,0,0.5652173913043479,5,7.88,0.06,4.0,684,1,0
23,1,3,0.04915313524727483,0,2,0.6884057971014493,1,19.41,0.07,2.0,637,1,0
26,1,4,0.04903259747362837,5,2,0.2753623188405797,2,10.38,0.03,4.0,649,0,0
26,1,1,0.04907388896010242,5,0,0.7101449275362319,1,15.33,0.07,3.0,695,1,0
25,0,1,0.049111009589356866,2,0,0.5072463768115942,2,16.45,0.05,3.0,620,0,0
26,1,1,0.012544548230819689,2,3,0.855072463768116,4,7.49,0.31,3.0,622,0,1
22,0,3,0.010126563272043051,0,3,0.855072463768116,3,12.69,0.37,3.0,645,0,1
26,1,4,0.013896879169988292,2,3,0.855072463768116,0,6.62,0.28,3.0,654,0,1
24,0,1,0.012046686907373325,2,3,0.855072463768116,0,11.01,0.32,4.0,624,0,1
23,1,3,0.012032923078548642,1,3,0.855072463768116,0,18.62,0.32,3.0,570,0,1
23,1,1,0.014341214492449777,3,3,0.855072463768116,4,15.23,0.27,3.0,648,0,1
23,0,0,0.015188871708046668,0,3,0.855072463768116,5,10.65,0.26,2.0,652,0,1
25,1,1,0.019044829207567716,3,3,0.855072463768116,1,7.9,0.21,4.0,559,0,0
26,1,3,0.04575889164196361,7,3,0.2753623188405797,4,15.96,0.03,3.0,623,1,0
26,1,0,0.04526297671855306,2,3,0.5652173913043479,5,11.48,0.06,3.0,602,1,0
23,1,1,0.04523975894669728,1,2,0.9999999999999999,4,11.01,0.1,4.0,609,0,0
25,1,4,0.020408421461229242,1,3,0.855072463768116,4,7.29,0.19,4.0,573,1,0
24,1,0,0.0010050375613498339,1,2,0.03623188405797101,5,11.01,0.11,3.0,631,1,0
21,0,1,0.020901277756012082,0,3,0.855072463768116,5,5.99,0.19,4.0,623,1,0
22,0,1,0.04491095636921875,0,2,0.3333333333333333,5,11.58,0.04,2.0,602,1,0
26,0,3,0.04288558810338054,6,0,0.2753623188405797,1,11.01,0.03,4.0,579,0,1
25,0,0,0.03610168883569965,0,0,0.7101449275362319,3,15.7,0.09,2.0,582,0,1
22,1,4,0.010731754654607144,0,3,0.8289855072463768,1,15.99,0.34,3.0,700,0,1
22,1,0,0.0009750073893687076,0,0,0.028985507246376812,1,14.84,0.1,3.0,688,0,0
26,1,1,0.04241761792334132,3,2,0.7971014492753623,2,10.99,0.09,3.0,607,1,0
25,0,1,0.042258013120404586,0,0,0.5652173913043479,2,14.42,0.06,2.0,661,1,0
24,1,3,0.04155522367890183,5,0,0.263768115942029,1,6.99,0.03,2.0,562,1,0
25,0,1,0.04075428006416447,0,3,0.7101449275362319,3,13.49,0.08,4.0,664,1,0
25,1,3,0.0009957226468927255,1,2,0.07246376811594203,3,11.01,0.2,3.0,564,0,1
22,1,0,0.00848658221329597,0,3,0.7971014492753623,3,11.01,0.41,2.0,598,0,1
21,0,3,0.0010158817901207964,0,2,0.07246376811594203,1,13.61,0.2,3.0,557,0,1
23,0,0,0.009896470982095068,0,3,0.7971014492753623,1,7.9,0.35,2.0,677,0,1
26,1,1,0.013159610642136837,4,3,0.7971014492753623,5,7.49,0.27,3.0,690,0,1
26,1,0,0.0010050375613498339,1,2,0.16231884057971013,1,7.51,0.4,3.0,599,0,1
22,1,3,0.013703490423572797,0,3,0.7971014492753623,5,9.91,0.26,3.0,604,0,1
21,0,1,0.001008235218551528,0,2,0.1072463768115942,4,13.48,0.28,4.0,663,0,1
22,1,1,0.0010332603618691337,3,2,0.12318840579710146,0,7.14,0.31,2.0,601,0,1
24,1,3,0.012836786293339727,1,3,0.7971014492753623,5,15.99,0.28,4.0,634,0,1
24,1,1,0.04072855977797693,2,3,0.5072463768115942,1,12.98,0.06,3.0,671,0,0
25,0,1,0.01571884863208396,1,3,0.7971014492753623,0,12.69,0.23,3.0,622,0,0
26,1,0,0.0174302903778602,1,3,0.7971014492753623,1,8.9,0.21,2.0,538,1,0
26,1,1,0.0010434094477701627,0,2,0.06376811594202898,0,11.01,0.17,4.0,587,0,1
22,1,4,0.017079938371413722,0,3,0.7971014492753623,1,11.01,0.21,4.0,683,0,1
23,1,0,0.024234904903065107,0,3,0.7971014492753623,0,11.11,0.15,2.0,634,1,0
24,0,1,0.010545734422612942,3,3,0.7855072463768116,2,11.01,0.33,2.0,690,0,1
21,0,1,0.001027977276057639,0,0,0.07971014492753624,0,15.68,0.21,3.0,518,0,1
22,0,1,0.010738984140454452,0,3,0.782608695652174,1,13.06,0.32,3.0,583,0,1
22,1,0,0.03905409963288115,2,2,0.7101449275362319,4,11.01,0.09,2.0,617,1,0
26,1,0,0.011271602607397489,4,3,0.7695652173913043,5,15.62,0.3,2.0,668,0,1
24,1,4,0.012861394350935371,2,3,0.7681159420289855,4,13.49,0.27,2.0,673,0,1
24,1,3,0.011254363064223139,3,3,0.7681159420289855,5,11.01,0.3,3.0,706,0,1
23,0,3,0.00943920600225282,1,3,0.7391304347826088,3,11.71,0.34,2.0,536,0,1
23,1,0,0.01905970526498429,0,3,0.727536231884058,1,12.69,0.18,3.0,557,1,0
24,0,1,0.0011022185345665352,1,2,0.0318840579710145,3,13.57,0.1,3.0,689,1,0
22,1,1,0.009055070052327575,3,3,0.7239130434782609,5,10.99,0.35,3.0,681,0,1
25,1,4,0.03802445401393567,4,0,0.5652173913043479,3,14.27,0.07,4.0,623,1,0
24,0,0,0.038062547843208026,0,2,0.5652173913043479,2,8.88,0.07,4.0,595,1,0
26,1,1,0.0380649113289658,1,0,0.6115942028985507,2,12.18,0.08,3.0,584,1,0
25,1,1,0.03588188466022668,4,0,0.33043478260869563,0,14.42,0.04,3.0,669,0,1
26,1,3,0.03776905852352211,3,0,0.7101449275362319,3,14.17,0.09,2.0,642,1,0
25,0,3,0.03740104988817932,4,0,0.9999999999999999,3,13.99,0.13,4.0,622,1,0
23,1,0,0.012895734408710086,0,3,0.7188405797101449,1,10.99,0.25,3.0,689,0,1
22,1,3,0.0011425368210226776,1,0,0.043478260869565216,4,5.42,0.12,4.0,614,0,1
25,0,1,0.0011415636210047708,2,2,0.03623188405797101,4,13.61,0.11,3.0,597,1,0
21,0,1,0.006106413026643715,3,3,0.7101449275362319,1,12.73,0.48,3.0,673,0,1
24,1,0,0.005882159936803172,3,3,0.7101449275362319,2,11.01,0.5,3.0,625,0,1
25,1,3,0.0011647813928605491,0,2,0.07246376811594203,0,12.87,0.18,4.0,603,0,1
24,1,1,0.0011917529362139685,0,0,0.09130434782608696,2,9.91,0.22,3.0,589,0,1
26,1,4,0.03673148827585939,5,0,0.5652173913043479,2,11.49,0.07,4.0,670,1,0
25,0,1,0.036609560216473054,3,0,0.855072463768116,2,19.91,0.11,2.0,637,1,0
26,1,0,0.03459892897947744,2,0,0.9999999999999999,1,10.65,0.14,2.0,643,0,1
24,1,3,0.03661206273080481,0,3,0.15942028985507245,3,11.01,0.02,4.0,508,1,0
24,1,3,0.0011775720216673253,2,0,0.11594202898550725,0,11.83,0.27,4.0,643,0,1
23,1,3,0.0011955067077116094,0,2,0.05507246376811595,0,13.49,0.14,2.0,505,0,1
22,1,1,0.006062758054411891,0,3,0.7101449275362319,3,14.59,0.48,2.0,593,0,1
26,0,4,0.0070231674435119965,6,3,0.7101449275362319,1,9.64,0.43,4.0,686,0,1
25,0,0,0.001167144878618323,4,2,0.08985507246376812,3,14.59,0.22,3.0,646,0,1
22,0,1,0.001235964022741738,0,2,0.12318840579710146,1,11.01,0.28,3.0,645,0,1
25,0,0,0.006082083026196042,3,3,0.7101449275362319,1,16.35,0.48,3.0,697,0,1
21,1,3,0.007210577961246063,0,3,0.7101449275362319,1,10.99,0.42,2.0,648,0,1
25,1,4,0.036560622158429736,1,0,0.7101449275362319,5,18.67,0.09,2.0,640,1,0
26,1,1,0.03654644124388309,5,3,0.07246376811594203,1,9.32,0.01,4.0,681,0,0
23,0,0,0.03652683821495097,0,3,0.20289855072463767,0,8.63,0.03,2.0,646,0,0
26,1,1,0.036547414443901,4,0,0.7101449275362319,5,10.08,0.09,2.0,615,1,0
22,1,0,0.007299139162875589,0,3,0.7101449275362319,4,11.83,0.41,3.0,687,0,1
23,1,3,0.007334313392094224,1,3,0.7101449275362319,0,7.9,0.41,3.0,650,0,1
25,1,1,0.007344740535143227,0,3,0.7101449275362319,2,5.99,0.41,2.0,588,0,1
24,1,1,0.0063709844029403995,2,3,0.7101449275362319,0,15.33,0.46,2.0,652,0,1
23,1,3,0.007340847735071598,0,3,0.7101449275362319,5,11.83,0.41,4.0,658,0,1
22,1,3,0.007333340192076317,0,3,0.7101449275362319,5,10.36,0.41,2.0,634,0,1
22,0,3,0.007372546249940565,0,3,0.7101449275362319,5,12.23,0.41,3.0,623,0,1
22,0,0,0.007679382312729207,0,3,0.7101449275362319,1,11.11,0.4,4.0,635,0,1
23,0,1,0.0012719724234042929,0,2,0.1289855072463768,0,7.9,0.29,4.0,531,0,1
24,0,4,0.035739519400464305,4,0,0.7101449275362319,1,11.58,0.09,2.0,665,1,0
23,1,0,0.03506370150231497,2,0,0.5942028985507246,0,8.9,0.08,3.0,703,0,0
25,0,0,0.03504006664473723,5,0,0.7101449275362319,1,16.07,0.1,3.0,585,1,0
26,0,1,0.035096929331497786,4,0,0.5652173913043479,1,14.22,0.08,2.0,594,0,0
23,1,1,0.03489339149918126,0,0,0.9999999999999999,3,14.79,0.14,3.0,618,1,0
26,1,3,0.034907433385153924,2,0,0.3333333333333333,1,7.88,0.05,2.0,626,1,0
23,1,3,0.007715668770539735,0,3,0.7101449275362319,4,13.22,0.39,2.0,695,0,1
26,0,2,0.006718555837907142,2,3,0.7101449275362319,0,11.86,0.44,4.0,690,0,1
22,1,1,0.007902662202551843,0,3,0.7101449275362319,1,13.43,0.39,4.0,574,0,1
26,0,3,0.006931408584680776,0,3,0.7101449275362319,2,15.28,0.43,2.0,602,0,1
23,1,0,0.006856611211875932,0,3,0.7101449275362319,5,17.93,0.44,2.0,679,0,1
23,0,3,0.0012395787656653923,2,0,0.02608695652173913,1,9.25,0.08,4.0,615,0,0
21,1,4,0.0012045435650207446,0,2,0.11594202898550725,5,12.98,0.27,4.0,601,0,1
22,1,0,0.034034611997665436,0,0,0.4492753623188405,5,10.62,0.06,4.0,577,1,0
26,0,0,0.034070481369754005,3,2,0.6231884057971014,4,11.83,0.09,4.0,588,1,0
26,1,1,0.007035123900874851,8,3,0.7101449275362319,5,18.43,0.43,2.0,595,0,1
22,1,3,0.008204354208102975,2,3,0.7101449275362319,1,11.01,0.37,4.0,653,0,1
24,0,4,0.008153052664301884,3,3,0.7101449275362319,2,11.01,0.38,4.0,663,0,1
23,1,1,0.008146935407046469,0,3,0.7101449275362319,1,11.36,0.38,3.0,653,0,1
23,1,0,0.008232159922900315,2,3,0.7101449275362319,1,15.65,0.37,3.0,598,0,1
24,0,3,0.008191285522148225,1,3,0.7101449275362319,4,13.22,0.37,4.0,630,0,1
26,1,0,0.008350890325084953,2,3,0.7101449275362319,0,12.87,0.37,2.0,637,0,1
24,1,0,0.03302554260766999,1,2,0.5652173913043479,3,13.04,0.08,3.0,660,1,0
23,1,0,0.030736854222700973,0,0,0.6231884057971014,1,17.58,0.1,3.0,639,0,1
23,1,3,0.0013706827109348475,0,2,0.21014492753623187,4,17.04,0.43,4.0,626,0,1
24,0,0,0.008982358108132533,3,3,0.7101449275362319,4,10.99,0.34,3.0,612,0,1
24,1,1,0.009047006395036347,1,3,0.7101449275362319,4,11.11,0.34,3.0,628,0,1
26,0,4,0.008046973862350034,2,3,0.7101449275362319,0,14.83,0.38,2.0,592,0,1
23,1,3,0.001356223739240231,1,2,0.10144927536231883,0,11.01,0.23,3.0,580,0,1
24,1,1,0.03241868288221805,3,3,0.3333333333333333,3,12.69,0.05,2.0,634,0,0
24,1,0,0.03237892071005786,3,0,0.3333333333333333,2,13.49,0.05,2.0,678,0,0
21,1,3,0.032390877167420715,0,0,0.4492753623188405,1,14.65,0.07,4.0,557,1,0
25,1,1,0.00802778791913987,3,3,0.7101449275362319,2,16.82,0.38,4.0,672,0,1
23,1,1,0.008996956108401136,0,3,0.7101449275362319,4,12.73,0.34,3.0,613,0,1
23,1,3,0.00898499965103828,3,3,0.7101449275362319,4,10.25,0.34,4.0,566,0,1
21,1,0,0.009015029823019407,0,3,0.7101449275362319,1,10.99,0.34,4.0,718,0,1
25,1,3,0.009384984858398008,4,3,0.7101449275362319,3,12.73,0.33,2.0,484,0,1
22,0,3,0.00845627398416687,0,3,0.7101449275362319,2,14.96,0.36,3.0,634,0,1
23,0,1,0.03241687551075623,2,0,0.7971014492753623,1,11.01,0.12,2.0,653,1,0
21,1,1,0.03240199945333965,0,0,0.7101449275362319,0,13.99,0.1,2.0,699,0,0
24,1,3,0.03237349859567238,0,0,0.6811594202898551,5,7.49,0.1,4.0,656,1,0
26,1,3,0.03239782859612005,3,0,0.42028985507246375,1,14.79,0.06,3.0,626,1,0
25,1,3,0.032379059738631845,2,0,0.43478260869565216,0,11.99,0.06,2.0,659,0,0
24,0,3,0.03238420379586936,4,3,0.2753623188405797,1,8.49,0.04,4.0,604,1,0
24,1,0,0.01003021647027027,1,3,0.7101449275362319,1,9.91,0.31,2.0,636,0,1
22,1,4,0.010052182984960167,0,3,0.7101449275362319,1,13.06,0.31,3.0,554,0,1
22,1,3,0.03240033111045181,0,0,0.24637681159420288,0,6.17,0.04,4.0,587,1,0
25,1,1,0.03239435288177038,4,3,0.5072463768115942,1,16.32,0.07,3.0,708,1,0
25,0,4,0.03236140310973554,2,0,0.3333333333333333,5,10.38,0.05,2.0,669,1,0
25,1,0,0.03242160248227178,2,0,0.6536231884057971,4,14.35,0.1,3.0,578,0,0
24,1,1,0.03238253545298151,5,0,0.5652173913043479,0,11.01,0.08,3.0,615,0,0
24,0,4,0.009025595994642395,1,3,0.7101449275362319,0,11.01,0.34,2.0,553,0,1
21,1,4,0.0013913979684588653,0,2,0.07246376811594203,2,11.01,0.17,4.0,635,0,1
26,0,0,0.01018217470163773,3,3,0.7101449275362319,4,15.21,0.31,2.0,531,0,1
23,1,3,0.010130734129262652,1,3,0.7101449275362319,1,7.9,0.31,4.0,621,0,1
24,1,1,0.010223744245259752,1,3,0.7101449275362319,5,10.99,0.31,3.0,674,0,1
24,0,0,0.010391134648339736,0,3,0.7101449275362319,4,14.09,0.3,3.0,688,0,1
25,0,3,0.010552407794164304,3,3,0.7101449275362319,4,17.49,0.3,2.0,597,0,1
25,1,0,0.03235431265246221,1,0,0.3333333333333333,1,11.48,0.05,3.0,640,0,0
26,0,0,0.030411666388146092,0,0,0.5652173913043479,5,17.74,0.09,2.0,621,0,1
26,0,1,0.032409506996334936,5,0,0.07246376811594203,4,13.92,0.01,3.0,608,1,0
25,1,1,0.010744684311987907,3,3,0.7101449275362319,1,15.21,0.29,3.0,653,0,1
22,0,1,0.0014114180831129501,0,2,0.10144927536231883,3,10.99,0.22,3.0,585,0,1
24,0,3,0.010687265510931401,3,3,0.7101449275362319,1,11.86,0.29,4.0,569,0,1
24,1,1,0.0014311601406190608,2,2,0.15942028985507245,4,7.49,0.33,3.0,587,0,1
24,1,1,0.008345746267847447,1,3,0.7101449275362319,3,16.49,0.37,4.0,631,0,1
25,0,3,0.010010196355616185,4,3,0.7101449275362319,5,15.33,0.31,2.0,592,0,1
26,0,3,0.009992678755293862,6,3,0.7101449275362319,2,11.58,0.31,4.0,679,0,1
25,1,3,0.0014527095695869988,1,2,0.14130434782608695,1,5.79,0.29,2.0,645,0,1
25,1,0,0.01114355729075574,0,3,0.7101449275362319,3,13.11,0.28,2.0,669,0,1
23,0,1,0.01141549718147372,0,3,0.7101449275362319,3,10.36,0.28,3.0,653,0,1
25,1,1,0.011530751869308693,1,3,0.7101449275362319,0,10.36,0.27,2.0,577,0,1
24,1,3,0.03104994657131902,0,3,0.6231884057971014,3,11.01,0.1,2.0,668,1,0
21,1,1,0.031118626686868444,0,0,0.5652173913043479,5,6.54,0.09,4.0,629,0,0
25,0,0,0.030936082169223913,4,0,0.2753623188405797,3,12.53,0.04,4.0,643,0,0
26,1,1,0.03081234673837575,0,0,0.42028985507246375,4,11.01,0.07,3.0,626,0,0
22,1,1,0.030712385193679314,0,0,0.2753623188405797,5,11.01,0.04,3.0,560,1,0
24,1,1,0.011530751869308693,0,3,0.7101449275362319,1,10.25,0.27,4.0,648,0,1
22,1,0,0.010883712885974603,0,3,0.7101449275362319,1,15.95,0.29,4.0,648,0,1
26,1,0,0.030693894393339086,3,0,0.5652173913043479,5,12.18,0.09,4.0,669,1,0
23,1,3,0.030729068622557722,2,2,0.6811594202898551,4,11.83,0.1,3.0,536,1,0
23,1,3,0.012066150907731464,1,3,0.7101449275362319,0,11.01,0.26,2.0,548,0,1
23,0,4,0.012064899650565583,0,3,0.7101449275362319,5,10.62,0.26,3.0,667,0,1
23,1,3,0.012136916451890693,0,3,0.7101449275362319,5,10.74,0.26,3.0,676,0,1
25,1,0,0.030022386380983337,1,2,0.2753623188405797,5,10.25,0.04,4.0,570,1,0
24,1,3,0.029839563806190832,0,0,0.9999999999999999,1,12.42,0.16,2.0,623,0,0
25,0,1,0.029887389635642254,2,3,0.42028985507246375,5,15.27,0.07,2.0,652,1,0
24,0,3,0.009348281314865519,1,3,0.7101449275362319,3,15.33,0.33,2.0,625,0,1
23,0,3,0.012254395596909452,1,3,0.7101449275362319,5,15.21,0.26,2.0,642,0,1
21,1,1,0.0013991835686021205,0,2,0.16666666666666666,5,14.72,0.35,2.0,580,0,1
24,1,0,0.012321685426719013,2,3,0.7101449275362319,4,15.7,0.26,2.0,622,0,1
24,1,1,0.012277474340191243,3,3,0.7101449275362319,1,13.35,0.26,4.0,581,0,1
21,0,3,0.0014488167695153717,1,0,0.028985507246376812,3,11.01,0.08,4.0,623,0,0
24,1,4,0.012350742398682233,1,3,0.7101449275362319,1,6.62,0.26,2.0,583,0,1
26,1,1,0.012366174570394756,4,3,0.7101449275362319,0,13.61,0.26,4.0,645,0,1
22,0,0,0.029887667692790228,2,3,0.7101449275362319,3,11.36,0.11,2.0,593,1,0
26,1,0,0.029889057978530097,3,2,0.13043478260869565,4,7.68,0.02,2.0,659,1,0
24,0,1,0.029900041235875044,0,3,0.6231884057971014,2,14.46,0.1,4.0,655,1,0
23,1,0,0.029690803232025064,2,2,0.05797101449275363,1,11.83,0.01,2.0,583,1,0
24,0,0,0.02776567456803127,0,0,0.5652173913043479,0,13.47,0.1,4.0,582,0,1
24,0,1,0.029595290601696203,1,0,0.5652173913043479,3,11.49,0.09,3.0,504,1,0
22,1,3,0.029546074486504915,0,0,0.014492753623188404,1,11.01,0.0,2.0,551,1,0
25,0,0,0.029544962257913022,1,0,0.42028985507246375,4,6.03,0.07,3.0,529,1,0
23,0,1,0.011375039866443592,0,3,0.7101449275362319,0,16.35,0.28,4.0,674,0,1
26,0,3,0.011401177238353091,4,3,0.7101449275362319,0,11.01,0.28,4.0,595,0,1
25,0,3,0.012610447774889382,6,3,0.7101449275362319,0,7.29,0.25,3.0,597,0,1
23,1,3,0.012647012289847884,5,3,0.7101449275362319,3,11.36,0.25,3.0,566,0,1
24,1,3,0.012712077662473658,3,3,0.7101449275362319,5,10.25,0.25,2.0,666,0,0
24,0,1,0.01288210960845939,1,3,0.7101449275362319,1,11.12,0.25,3.0,695,0,0
24,0,1,0.012851106236460356,2,3,0.7101449275362319,4,12.92,0.25,3.0,576,1,0
24,1,3,0.02904654482017071,5,3,0.5072463768115942,1,18.64,0.08,4.0,651,1,0
23,0,1,0.029041817848655165,0,0,0.7971014492753623,4,7.51,0.13,3.0,633,1,0
23,1,4,0.0014614683697481607,1,2,0.10144927536231883,2,16.7,0.22,2.0,566,0,1
22,1,4,0.0014413092265200898,0,2,0.0463768115942029,4,11.14,0.11,4.0,583,0,0
22,0,0,0.01311275801270332,0,3,0.7101449275362319,4,18.3,0.24,4.0,586,1,0
24,0,0,0.013263325958330912,4,3,0.7101449275362319,3,10.62,0.24,4.0,592,1,0
24,1,1,0.02907560179213393,2,0,0.3913043478260869,5,11.99,0.06,2.0,598,1,0
26,1,4,0.029060308648995392,1,0,0.3333333333333333,5,9.63,0.06,4.0,637,1,0
25,0,3,0.02283057727722548,5,0,0.2753623188405797,3,18.25,0.06,4.0,628,0,1
23,1,4,0.0015058184848499173,0,0,0.15942028985507245,0,11.01,0.32,4.0,667,0,1
24,1,0,0.013534292649030985,5,3,0.7101449275362319,2,14.84,0.24,3.0,621,1,0
24,1,1,0.01156495289850942,1,3,0.7101449275362319,5,14.7,0.27,3.0,668,0,1
23,0,3,0.011662550957448082,1,3,0.7101449275362319,0,16.02,0.27,4.0,544,0,1
23,1,0,0.010072898242484186,2,3,0.7101449275362319,3,15.37,0.31,2.0,699,0,1
25,0,1,0.014008241057751636,2,3,0.7101449275362319,3,10.99,0.23,4.0,611,0,0
21,1,0,0.0015176359136387866,0,2,0.16521739130434782,2,7.9,0.33,2.0,615,0,1
26,0,3,0.0290895046495326,5,2,0.7101449275362319,4,10.99,0.12,4.0,559,1,0
24,0,3,0.029059335448977486,0,2,0.5942028985507246,1,11.48,0.1,3.0,577,1,0
25,1,3,0.02903945436289739,1,2,0.5652173913043479,3,14.26,0.09,4.0,657,1,0
26,1,0,0.029033754191363934,5,2,0.2753623188405797,2,8.0,0.05,4.0,676,1,0
25,1,1,0.02898509419046859,0,0,0.27391304347826084,5,11.26,0.05,2.0,601,0,0
23,0,4,0.0015293143138536693,2,2,0.11521739130434781,3,11.01,0.24,4.0,647,0,1
23,0,4,0.01200692473521313,0,3,0.7101449275362319,5,16.32,0.26,3.0,576,0,1
25,1,4,0.010089303614214616,3,3,0.7101449275362319,3,17.93,0.31,4.0,612,0,1
23,1,1,0.014065103744512196,0,3,0.7101449275362319,0,11.36,0.23,3.0,678,0,0
24,0,0,0.01220017445305464,1,3,0.7101449275362319,0,14.96,0.26,4.0,542,0,1
24,0,0,0.014310906263320676,1,3,0.7101449275362319,4,13.43,0.23,3.0,709,1,0
25,1,0,0.014388067121883293,2,3,0.7101449275362319,2,12.69,0.22,3.0,622,1,0
24,1,0,0.014421294951066114,4,3,0.7101449275362319,5,12.73,0.22,4.0,642,1,0
23,0,3,0.014653055583901937,0,3,0.7101449275362319,5,15.21,0.22,4.0,660,0,0
23,0,1,0.001553644314301341,1,0,0.03623188405797101,3,12.68,0.09,3.0,587,1,0
23,0,3,0.010814615684703216,0,3,0.7101449275362319,3,19.04,0.29,4.0,646,0,1
25,0,4,0.01308453521218402,7,3,0.7101449275362319,0,15.95,0.24,3.0,637,0,1
26,1,1,0.028223495662169463,5,0,0.0608695652173913,5,8.9,0.01,4.0,718,0,0
25,1,4,0.02820931474762282,4,0,0.21739130434782605,2,7.9,0.04,2.0,588,1,0
22,1,0,0.02816093280387545,0,0,0.5072463768115942,1,11.01,0.09,2.0,652,0,0
23,1,1,0.02821404171913837,0,0,0.5942028985507246,4,11.99,0.1,3.0,620,1,0
23,1,3,0.0015379340854408442,2,2,0.10144927536231883,0,13.98,0.21,4.0,667,0,1
23,0,0,0.0015190261993786537,0,2,0.11884057971014493,5,10.99,0.24,2.0,688,0,1
22,1,0,0.013721286081043093,0,3,0.7101449275362319,0,15.58,0.23,2.0,667,0,1
25,1,4,0.01150016558303162,4,3,0.7101449275362319,3,10.99,0.28,2.0,692,0,1
25,1,1,0.01371767133811944,1,3,0.7101449275362319,5,14.96,0.23,4.0,562,0,1
